max_strain,LN,EQ_MKZ,EQ_HH,NL_MKZ,NL_HH
0.0294602,3.954137734,2.268357558,2.393191051,3.364339675,3.627068266
0.00473013,4.050333456,4.046316248,4.046306055,3.857225321,3.848105737
0.0264862,4.248503972,3.140924617,3.278798975,3.005745211,3.527797522
0.00718801,3.146687508,3.159753443,3.159759292,3.324431413,3.308239882
0.00749428,1.222625117,1.098841,1.098840459,1.605421419,1.58686597
0.0169548,3.546932259,2.874988218,2.875513688,2.816185083,2.909856284
0.0149849,3.864109235,3.961938621,3.961945486,3.626301724,3.687692435
0.0048409,3.045665332,2.992530657,2.992527789,3.376148291,3.355890734
0.00604365,4.55146368,4.51225393,4.51225436,3.791336358,3.784318256
0.00514758,3.657360155,3.616795489,3.616799935,3.257856269,3.243341009
0.00790257,3.792326157,3.706616104,3.706617623,3.362384966,3.351042359
0.0303926,2.663798247,1.843341575,1.804533388,2.744211305,2.71287814
0.0127782,4.110764134,3.440159043,3.440156585,4.369086592,4.381658325
1.12903,4.387622921,-2.537958116,-3.427333793,-3.184585814,-0.949503123
0.0467765,3.697766574,3.304419006,3.78731962,3.090398873,3.066686818
0.0203267,2.865599297,1.938824888,1.959090843,2.582462914,2.564902396
0.0902952,4.672299715,1.110153645,1.458625317,1.101171641,1.791192918
0.0237643,2.454210722,2.315520758,2.315464528,2.421276739,2.421291056
0.0375769,2.5155867,1.590465097,1.916164435,1.810205301,1.872187935
0.0392821,3.061178116,2.266272524,2.387082906,2.498192745,2.800364628
0.0100641,3.491500322,3.257626471,3.257618942,3.64086848,3.61908098
0.0114281,4.146011892,4.281373473,4.281373256,4.267196827,4.252835423
0.00447198,2.862030503,2.746419416,2.746424422,3.078022443,3.058324787
0.0186895,3.356391615,2.652747435,2.65275109,2.805700808,2.928347874
0.0144123,3.242323844,2.945778561,2.945779867,3.605658944,3.606185856
0.0134815,3.47156709,2.808397563,2.808396291,2.964856339,2.983376758
0.00558537,2.395643163,2.341164648,2.341161312,2.666898919,2.646785247
0.0161145,3.071444678,2.613496332,2.61349803,2.694166869,2.819250973
0.0150832,3.620279655,3.313954341,3.313950975,3.924003387,3.929113393
0.0164074,3.279231289,2.745616559,2.745613535,2.782178559,2.896838393
0.0206545,3.546433649,2.932999739,2.934094032,2.845034109,3.038279936
0.00626598,4.189661973,3.935570543,3.935578963,3.867912151,3.854746691
0.0275652,3.969671978,2.676461244,2.771535522,2.707558823,3.342678884
0.0138769,4.107914077,3.775711754,3.775705245,3.655017446,3.665085369
0.00701092,3.524923011,3.480345996,3.480340478,3.686123398,3.664662769
0.00571961,3.423461877,2.991226419,2.991224647,3.112871435,3.095470018
0.0239466,3.619908075,2.920196356,2.956507274,3.397462756,3.584344672
0.0222476,3.580486411,2.888157877,2.90434107,2.825386462,2.999223203
0.0414038,3.482426743,2.326612876,2.841485175,2.365458017,3.156915803
0.00597464,3.642023679,3.540637238,3.540637223,3.394187653,3.371404422
0.0149726,3.847164312,3.139564172,3.139564624,3.474673233,3.500201751
0.0221635,3.654666322,3.321236341,3.32123394,4.065105189,4.116564029
0.0140407,3.325240227,3.061457685,3.06145753,3.887454856,3.877177036
0.0224043,3.63824024,2.878175747,2.970839475,2.588324175,2.83465418
0.0119065,3.808009771,3.790019325,3.79003497,3.910139349,3.906582345
0.0115521,3.007166588,2.728802192,2.728799341,2.852379593,2.837556839
0.0142065,2.184405957,2.168078084,2.16806521,2.166360104,2.303319074
0.00565767,3.36768082,3.408592949,3.408575823,3.547904667,3.529243001
0.0135295,3.986039503,3.679595306,3.679605494,3.545799618,3.554144163
0.0052732,3.887792107,3.659448157,3.659438116,3.614377594,3.597810036
0.0995882,3.938797339,0.660788348,0.734135628,0.829881128,2.857446218
0.0165625,0.135126513,0.272835247,0.272836942,0.226504966,0.401543248
0.00595224,3.096273715,3.150374484,3.150355832,3.623302998,3.605908292
0.00994621,3.305129761,3.3230853,3.323068583,3.577727458,3.560691966
0.0154925,2.72326464,2.912068274,2.912076002,2.591845308,2.750261177
0.00751547,3.0268436,3.070592286,3.070584067,3.201055757,3.181544084
0.217913,4.494006271,-1.451032797,-0.963831547,-1.621505335,0.595722797
0.0214857,2.339753753,1.444809574,1.444814294,1.80565068,1.909262676
0.0171758,4.254021264,4.154403726,4.154398162,3.637295534,3.988822361
0.0224047,3.53286934,3.19426671,3.211753186,2.798486797,3.147164218
0.0227414,3.620796528,2.760671158,2.796385454,2.333824603,2.671630999
0.00658952,2.549708596,2.516071198,2.516069236,2.746434141,2.72947009
